Year,Decimal Day of Year,Month,Day,Time,Date Time
1917,120.4792,April,30,11:30 AM,04/30/1917 11:30:00 AM
1918,131.3979,May,11,9:33 AM,05/11/1918 09:33:00 AM
1919,123.6063,May,3,2:33 PM,05/03/1919 02:33:00 PM
1920,132.4486,May,11,10:46 AM,05/11/1920 10:46:00 AM
1921,131.2792,May,11,6:42 AM,05/11/1921 06:42:00 AM
1922,132.5556,May,12,1:20 PM,05/12/1922 01:20:00 PM
1923,129.0833,May,9,2:00 AM,05/09/1923 02:00:00 AM
1924,132.6319,May,11,3:10 PM,05/11/1924 03:10:00 PM
1925,127.7722,May,7,6:32 PM,05/07/1925 06:32:00 PM
1926,116.6688,April,26,4:03 PM,04/26/1926 04:03:00 PM
1927,133.2375,May,13,5:42 AM,05/13/1927 05:42:00 AM
1928,127.684,May,6,4:25 PM,05/06/1928 04:25:00 PM
1929,125.6535,May,5,3:41 PM,05/05/1929 03:41:00 PM
1930,128.7938,May,8,7:03 PM,05/08/1930 07:03:00 PM
1931,130.391,May,10,9:23 AM,05/10/1931 09:23:00 AM
1932,122.4271,May,1,10:15 AM,05/01/1932 10:15:00 AM
1933,128.8125,May,8,7:30 PM,05/08/1933 07:30:00 PM
1934,120.5882,April,30,2:07 PM,04/30/1934 02:07:00 PM
1935,135.5639,May,15,1:32 PM,05/15/1935 01:32:00 PM
1936,121.5403,April,30,12:58 PM,04/30/1936 12:58:00 PM
1937,132.8361,May,12,8:04 PM,05/12/1937 08:04:00 PM
1938,126.8431,May,6,8:14 PM,05/06/1938 08:14:00 PM
1939,119.5597,April,29,1:26 PM,04/29/1939 01:26:00 PM
1940,111.6438,April,20,3:27 PM,04/20/1940 03:27:00 PM
1941,123.0764,May,3,1:50 AM,05/03/1941 01:50:00 AM
1942,120.5611,April,30,1:28 PM,04/30/1942 01:28:00 PM
1943,118.8069,April,28,7:22 PM,04/28/1943 07:22:00 PM
1944,125.5889,May,4,2:08 PM,05/04/1944 02:08:00 PM
1945,136.4035,May,16,9:41 AM,05/16/1945 09:41:00 AM
1946,125.6944,May,5,4:40 PM,05/05/1946 04:40:00 PM
1947,123.7451,May,3,5:53 PM,05/03/1947 05:53:00 PM
1948,134.4674,May,13,11:13 AM,05/13/1948 11:13:00 AM
1949,134.5271,May,14,12:39 PM,05/14/1949 12:39:00 PM
1950,126.6764,May,6,4:14 PM,05/06/1950 04:14:00 PM
1951,120.7458,April,30,5:54 PM,04/30/1951 05:54:00 PM
1952,133.7111,May,12,5:04 PM,05/12/1952 05:04:00 PM
1953,119.6625,April,29,3:54 PM,04/29/1953 03:54:00 PM
1954,126.7507,May,6,6:01 PM,05/06/1954 06:01:00 PM
1955,129.5924,May,9,2:13 PM,05/09/1955 02:13:00 PM
1956,122.975,May,1,11:24 PM,05/01/1956 11:24:00 PM
1957,125.3958,May,5,9:30 AM,05/05/1957 09:30:00 AM
1958,119.6222,April,29,2:56 PM,04/29/1958 02:56:00 PM
1959,128.4764,May,8,11:26 AM,05/08/1959 11:26:00 AM
1960,123.8,May,2,7:12 PM,05/02/1960 07:12:00 PM
1961,125.4799,May,5,11:31 AM,05/05/1961 11:31:00 AM
1962,132.9743,May,12,11:23 PM,05/12/1962 11:23:00 PM
1963,125.7674,May,5,6:25 PM,05/05/1963 06:25:00 PM
1964,141.4868,May,20,11:41 AM,05/20/1964 11:41:00 AM
1965,127.7924,May,7,7:01 PM,05/07/1965 07:01:00 PM
1966,128.5076,May,8,12:11 PM,05/08/1966 12:11:00 PM
1967,124.4965,May,4,11:55 AM,05/04/1967 11:55:00 AM
1968,129.3931,May,8,9:26 AM,05/08/1968 09:26:00 AM
1969,118.5194,April,28,12:28 PM,04/28/1969 12:28:00 PM
1970,124.4424,May,4,10:37 AM,05/04/1970 10:37:00 AM
1971,128.8965,May,8,9:31 PM,05/08/1971 09:31:00 PM
1972,131.4972,May,10,11:56 AM,05/10/1972 11:56:00 AM
1973,124.4993,May,4,11:59 AM,05/04/1973 11:59:00 AM
1974,126.6556,May,6,3:44 PM,05/06/1974 03:44:00 PM
1975,130.5757,May,10,1:49 PM,05/10/1975 01:49:00 PM
1976,123.4521,May,2,10:51 AM,05/02/1976 10:51:00 AM
1977,126.5319,May,6,12:46 PM,05/06/1977 12:46:00 PM
1978,120.6375,April,30,3:18 PM,04/30/1978 03:18:00 PM
1979,120.7611,April,30,6:16 PM,04/30/1979 06:16:00 PM
1980,120.5528,April,29,1:16 PM,04/29/1980 01:16:00 PM
1981,120.7806,April,30,6:44 PM,04/30/1981 06:44:00 PM
1982,130.7333,May,10,5:36 PM,05/10/1982 05:36:00 PM
1983,119.7757,April,29,6:37 PM,04/29/1983 06:37:00 PM
1984,130.6479,May,9,3:33 PM,05/09/1984 03:33:00 PM
1985,131.6083,May,11,2:36 PM,05/11/1985 02:36:00 PM
1986,128.9514,May,8,10:50 PM,05/08/1986 10:50:00 PM
1987,125.6326,May,5,3:11 PM,05/05/1987 03:11:00 PM
1988,118.3854,April,27,9:15 AM,04/27/1988 09:15:00 AM
1989,121.8431,May,1,8:14 PM,05/01/1989 08:14:00 PM
1990,114.7215,April,24,5:19 PM,04/24/1990 05:19:00 PM
1991,121.0028,May,1,12:04 PM,05/01/1991 12:04:00 PM
1992,135.2681,May,14,6:26 AM,05/14/1992 06:26:00 AM
1993,113.5424,April,23,1:01 PM,04/23/1993 01:01:00 PM
1994,119.959,April,29,11:01 PM,04/29/1994 11:01:00 PM
1995,116.5569,April,26,1:22 PM,04/26/1995 01:22:00 PM
1996,126.5222,May,5,12:32 PM,05/05/1996 12:32:00 PM
1997,120.4361,April,30,10:28 AM,04/30/1997 10:28:00 AM
1998,110.7042,April,20,4:54 PM,04/20/1998 04:54:00 PM
1999,119.9076,April,29,9:47 PM,04/29/1999 09:47:00 PM
2000,122.4493,May,1,10:47 AM,05/01/2000 10:47:00 AM
2001,128.5417,May,8,1:00 PM,05/08/2001 01:00:00 PM
2002,127.8938,May,7,9:27 PM,05/07/2002 09:27:00 PM
2003,119.7653,April,29,6:22 PM,04/29/2003 06:22:00 PM
2004,115.5944,April,24,2:16 PM,04/24/2004 02:16:00 PM
2005,118.5007,April,28,12:01 PM,04/28/2005 12:01:00 PM
2006,122.7285,May,2,5:29 PM,05/02/2006 05:29:00 PM
2007,117.6576,April,27,3:47 PM,04/27/2007 03:47:00 PM
2008,127.9535,May,6,10:53 PM,05/06/2008 10:53:00 PM
2009,121.8618,May,1,8:41 PM,05/01/2009 08:41:00 PM
2010,119.3792,April,29,9:06 AM,04/29/2010 09:06:00 AM
2011,124.6833,May,4,4:24 PM,05/04/2011 04:24:00 PM
2012,114.8188,April,23,7:39 PM,04/23/2012 07:39:00 PM
2013,140.6118,May,20,2:41 PM,05/20/2013 02:41:00 PM
2014,115.6583,April,25,3:48 PM,04/25/2014 03:48:00 PM
2015,114.6007,April,24,2:25 PM,04/24/2015 02:25:00 PM
2016,114.6521,April,23,3:39 PM,04/23/2016 03:39:00 PM
2017,121.5,May,1,12:00 PM,05/01/2017 12:00:00 PM
2018,121.5542,May,1,1:18 PM,05/01/2018 01:18:00 PM
2019,104.0146,April,14,12:21 AM,04/14/2019 12:21:00 AM
2020,118.5389,April,27,12:56 PM,04/27/2020 12:56:00 PM
